TÍTULO,CLAVE DE REGIÓN HIDROLÓGICA,NOMBRE DE REGIÓN HIDROLÓGICA,ESTADO,NOMBRE DE ESTADO,MUNICIPIO(S),CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA,VOLUMEN ANUAL EN m3 ,FUENTE,AFLUENTE,NÚMERO DE ANEXO
11CHS410101/30ITDA10,30,GRIJALVA-USUMACINTA,7,CHIAPAS,LA CONCORDIA,617,LA CONCORDIA,86600000.00,"PRESA DE ALMACENAMIENTO ""JUAN SABINES GUTIÉRREZ"" (EL PORTILLO)",RIO CUXTEPEQUES,1
11CHS404601/23ATGC00,23,COSTA DE CHIAPAS,7,CHIAPAS,SUCHIATE,403,SUCHIATE,100268000.00,DERIVACIÓN DEL RÍO (BARRAJE DE ROCA),NO APLICA,1
11CHS405903/30ATGR06,30,GRIJALVA-USUMACINTA,7,CHIAPAS,TZIMOL,618,AGUACATENCO,12257000.00,DERIVACIÓN DEL RÍO SAN VICENTE (PRESA DERIVADORA),RÍO SAN VICENTE,1
06CHI404201/34ATGC00,34,CUENCAS CERRADAS DEL NORTE,8,CHIHUAHUA,BUENAVENTURA Y NAMIQUIPA,710,RÍO SANTA MARÍA 1,61321000.00,PRESA EL TINTERO Y APORTACIONES AGUAS ABAJO DE LA MISMA,RÍO SANTA MARÍA,1
06CHI400902/24ATGC01,24,BRAVO-CONCHOS,8,CHIHUAHUA,JUÁREZ,415,RÍO BRAVO 1,2218000.00,RÍO BRAVO (DERIVADORA INTERNACIONAL),RÍO BRAVO,1
06CHI400903/24ATGC01,24,BRAVO-CONCHOS,8,CHIHUAHUA,JUÁREZ,415,RÍO BRAVO 1,5142000.00,RÍO BRAVO (DERIVADORA INTERNACIONAL),RÍO BRAVO,1
02CHI408302/09ATGC08,9,SONORA SUR,8,CHIHUAHUA,GUERRERO,103,RÍO YAQUI 1,3732000.00,PRESA DE ALMACENAMIENTO ABRAHAM GONZÁLEZ,RÍO YAQUI,1
02CHI408303/09ATGC08,9,SONORA SUR,8,CHIHUAHUA,MATACHÍ,103,RÍO YAQUI 1,4064000.00,PRESA DE ALMACENAMIENTO ABRAHAM GONZÁLEZ,RÍO YAQUI,1
02CHI408304/09ATGC08,9,SONORA SUR,8,CHIHUAHUA,TEMÓSACHIC,103,RÍO YAQUI 1,3555000.00,PRESA DE ALMACENAMIENTO ABRAHAM GONZÁLEZ,RÍO YAQUI,1
06CHI409002/24ATGC09,24,BRAVO-CONCHOS,8,CHIHUAHUA,OJINAGA,414,RÍO CONCHOS 4,786490.00,PRESA DE ALMACENAMIENTO LUIS L. LEÓN,RÍO CONCHOS,1
06CHI409003/24ATGC09,24,BRAVO-CONCHOS,8,CHIHUAHUA,OJINAGA,414,RÍO CONCHOS 4,10349180.00,PRESA DE ALMACENAMIENTO LUIS L. LEÓN (PRESA DERIVADORA ING. FERNANDO FOGLIO M).,RÍO BRAVO,1
06CHI409004/24ATGC09,24,BRAVO-CONCHOS,8,CHIHUAHUA,OJINAGA,414,RÍO CONCHOS 4,15606740.00,PRESA DE ALMACENAMIENTO LUIS L. LEÓN  (PRESA DERIVADORA ING. FERNANDO FOGLIO M.),RÍO BRAVO,1
06CHI409005/24ATGC09,24,BRAVO-CONCHOS,8,CHIHUAHUA,OJINAGA,414,RÍO CONCHOS 4,25730680.00,PRESA DE ALMACENAMIENTO LUIS L. LEÓN (PRESA DERIVADORA TARAHUMARA),RÍO BRAVO,1
06CHI409001/24ATGC10,24,BRAVO-CONCHOS,8,CHIHUAHUA,OJINAGA,414,RÍO CONCHOS 4,11168210.00,PRESA DE ALMACENAMIENTO LUIS L. LEÓN (PRESA DERIVADORA TARAHUMARA),RÍO BRAVO,1
06CHI410301/24ATGC00,24,BRAVO-CONCHOS,10,DURANGO,VILLA OCAMPO,405,RÍO FLORIDO 2,12759700.00,PRESAS SAN GABRIEL Y PICO DE ÁGUILA,RÍO CONCHOS,1
06CHI410302/24ATGC00,24,BRAVO-CONCHOS,8,CHIHUAHUA,VILLA CORONADO Y VILLA LÓPEZ,406,RÍO FLORIDO 3,83786600.00,PRESAS SAN GABRIEL Y PICO DE ÁGUILA,RÍO FLORIDO,1
06CHI410302/24ATGC00,24,BRAVO-CONCHOS,8,CHIHUAHUA,VILLA CORONADO Y VILLA LÓPEZ,406,RÍO FLORIDO 3,8551000.00,PRESA DERIVADORA DE ARREOLA,RÍO FLORIDO,2
02CHI408301/09ATGC00,9,SONORA SUR,8,CHIHUAHUA,GUERRERO,103,RÍO YAQUI 1,26454000.00,PRESA ABRAHAM GONZÁLEZ,RIO YAQUI,1
06CHI408904/34ATDL16,34,CUENCAS CERRADAS DEL NORTE,8,CHIHUAHUA,BUENAVENTURA,715,RÍO DEL CARMEN 1,32375700.00,PRESA DE ALMACENAMIENTO LAS LAJAS; PRESA DERIVADORA SAN ISIDRO ( RIO EL CARMEN ),RÍO EL CARMEN,1
06CHI408901/34ATDL16,34,CUENCAS CERRADAS DEL NORTE,8,CHIHUAHUA,BUENAVENTURA,715,RÍO DEL CARMEN 1,24724300.00,PRESA DE ALMACENAMIENTO LAS LAJAS; PRESA DERIVADORA SAN ISIDRO (RÍO EL CARMEN),RÍO EL CARMEN,1
06CHI400501/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,CAMARGO Y LA CRUZ,411,RÍO CONCHOS 2,57249000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400502/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,"CAMARGO, SAUCILLO Y DELICIAS",411,RÍO CONCHOS 2,74198000.00,PRESAS DE ALMACENAMIENTO LA BOQUILLA Y FRANCISCO Y MADERO,RÍO BRAVO,1
06CHI400503/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,"SAUCILLO, DELICIAS Y MEOQUI",411,RÍO CONCHOS 2,70337000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400504/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,DELICIAS Y MEOQUI,411,RÍO CONCHOS 2,94630000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
