,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
4379,GRO112039,1074,-99.89383352777779,-99.89383352777779,SUPERFICIAL
4380,GRO112041,1075,-99.79509191666666,-99.79509191666666,SUPERFICIAL
4381,GRO112939,1076,-101.75527794444444,-101.75527794444444,SUPERFICIAL
4439,GRO102227,1077,-99.43805822222222,-99.43805822222222,SUPERFICIAL
4440,GRO102502,1078,-99.74528580555555,-99.74528580555555,SUPERFICIAL
4441,GRO103232,1079,-99.1802831388889,-99.1802831388889,SUPERFICIAL
4442,GRO113318,1080,-101.69861536111111,-101.69861536111111,SUPERFICIAL
50310,04GRO100206/18JBGC05,1081,-100.66805555555555,-100.66805555555555,SUPERFICIAL
50311,04GRO101220/18HOGE01,1082,-99.85833333333333,-99.85833333333333,SUPERFICIAL
50312,04GRO101221/18HOGE99,1083,-99.7125,-99.7125,SUPERFICIAL
50313,04GRO101225/18EOGE04,1084,-99.59416666666667,-99.59416666666667,SUPERFICIAL
50314,04GRO101582/18HAGE99,1085,-99.55749999999999,-99.55749999999999,SUPERFICIAL
50315,04GRO101652/18AAGE99,1086,-98.55,-98.55,SUPERFICIAL
50316,04GRO101658/18AAGE00,1087,-98.63333333333334,-98.63333333333334,SUPERFICIAL
50317,04GRO101853/18AOGE01,1088,-99.96666666666667,-99.96666666666667,SUPERFICIAL
50318,04GRO102270/18HOGE99,1089,-99.68861111111111,-99.68861111111111,SUPERFICIAL
50319,04GRO102483/18AOGE02,1090,-99.62194444444444,-99.62194444444444,SUPERFICIAL
50320,04GRO103510/18HOOC07,1091,-99.70194444444445,-99.70194444444445,SUPERFICIAL
50321,04GRO103520/18HOOC07,1092,-100.12138888888889,-100.12138888888889,SUPERFICIAL
50322,04GRO103522/18HOOC07,1093,-100.13555555555556,-100.13555555555556,SUPERFICIAL
50323,04GRO103523/18HOOC07,1094,-100.13555555555556,-100.13555555555556,SUPERFICIAL
50324,04GRO103530/18HOOC07,1095,-100.14833333333334,-100.14833333333334,SUPERFICIAL
50325,04GRO103640/18HOOC07,1096,-99.71888888888888,-99.71888888888888,SUPERFICIAL
50326,04GRO103641/18HOOC07,1097,-99.81305555555555,-99.81305555555555,SUPERFICIAL
50327,04GRO103642/18HOOC07,1098,-99.73805555555556,-99.73805555555556,SUPERFICIAL
50328,04GRO103822/18HOGE97,1099,-99.6086111111111,-99.6086111111111,SUPERFICIAL
50329,04GRO103823/18HAGE97,1100,-99.48333333333333,-99.48333333333333,SUPERFICIAL
50330,04GRO103824/18HAGE97,1101,-98.52944444444444,-98.52944444444444,SUPERFICIAL
50331,04GRO103825/18HAGE97,1102,-98.50138888888888,-98.50138888888888,SUPERFICIAL
50332,04GRO103826/18HOGE97,1103,-98.6563888888889,-98.6563888888889,SUPERFICIAL
50333,04GRO103827/18HOGE97,1104,-98.64194444444445,-98.64194444444445,SUPERFICIAL
50334,04GRO103828/18HOGE97,1105,-98.68222222222222,-98.68222222222222,SUPERFICIAL
50335,04GRO103828/18HOGE97,1106,-98.68194444444445,-98.68194444444445,SUPERFICIAL
50336,04GRO103828/18HOGE97,1107,-98.68166666666667,-98.68166666666667,SUPERFICIAL
50337,04GRO103829/18HOGE97,1108,-98.63861111111112,-98.63861111111112,SUPERFICIAL
50338,04GRO103830/18HOGE97,1109,-98.635,-98.635,SUPERFICIAL
50339,04GRO103831/18HOGE97,1110,-98.66111111111111,-98.66111111111111,SUPERFICIAL
50340,04GRO103831/18HOGE97,1111,-98.66083333333334,-98.66083333333334,SUPERFICIAL
50341,04GRO103832/18HOGE97,1112,-98.62305555555555,-98.62305555555555,SUPERFICIAL
50342,04GRO103833/18HOGE97,1113,-98.67277777777778,-98.67277777777778,SUPERFICIAL
50343,04GRO103834/18HOGE97,1114,-98.62666666666667,-98.62666666666667,SUPERFICIAL
50344,04GRO103835/18HOGE97,1115,-98.61472222222221,-98.61472222222221,SUPERFICIAL
50345,04GRO103836/18HOGE97,1116,-99.5886111111111,-99.5886111111111,SUPERFICIAL
50346,04GRO103837/18HOGE97,1117,-99.55083333333333,-99.55083333333333,SUPERFICIAL
50347,04GRO103838/18HOGE97,1118,-99.45083333333334,-99.45083333333334,SUPERFICIAL
50348,04GRO103839/18HOGE97,1119,-99.44194444444445,-99.44194444444445,SUPERFICIAL
50349,04GRO103840/18HOGE97,1120,-100.56611111111111,-100.56611111111111,SUPERFICIAL
50350,04GRO103841/18HAGE97,1121,-99.65833333333335,-99.65833333333335,SUPERFICIAL
50351,04GRO103842/18HOGE97,1122,-99.68666666666667,-99.68666666666667,SUPERFICIAL
69,813324,1123,-98.4022223888889,-98.4022223888889,SUPERFICIAL
105,814241,1124,-98.79666716666667,-98.79666716666667,SUPERFICIAL
106,814271,1125,-98.37559041666665,-98.37559041666665,SUPERFICIAL
