CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA
740,CANAL SANTA ROSA
741,ARROYO CADENA
742,LAGUNA DE MAYRÁN
743,PRESA SANTA ROSA
744,PRESA LEOBARDO REYNOSO
745,PRESA CAZADERO
746,SAN FRANCISCO
747,PRESA LA FLOR
748,NAZARENO
749,LAGUNA DE VIESCA
750,SIERRA MADRE ORIENTAL
751,MATEHUALA
752,SIERRA DE RODRÍGUEZ
753,CAMACHO-GRUÑIDORA
754,FRESNILLO - YESCAS
755,PRESA SAN PABLO Y OTRAS
756,PRESA SAN JOSÉ - LOS PILARES Y OTRAS
757,SIERRA MADRE
10003,NO APLICA
