NÚMERO DE ANEXO,CLAVE DE ACUÍFERO,VOLUMEN ANUAL EN m3,FECHA
3294,3105,57715.5,2022-05-22
3295,3105,90159.5,2022-05-22
3296,3105,90512.0,2022-05-22
3297,3105,138151.0,2022-05-22
3298,3105,181958.0,2022-05-22
3299,3105,92965.0,2022-05-22
3300,3105,378643.5,2022-05-22
3301,3105,71578.0,2022-05-22
3302,3105,17498.0,2022-05-22
3303,3105,87420.0,2022-05-22
3304,3105,273.75,2022-05-22
3305,3105,132772.5,2022-05-22
3306,3105,35516.6,2022-05-22
3307,3105,81530.0,2022-05-22
3308,3105,55190.5,2022-05-22
3309,3105,34968.0,2022-05-22
3310,3105,19947.75,2022-05-22
3311,3105,72000.0,2022-05-22
3312,3105,1095.0,2022-05-22
3313,3105,2737.5,2022-05-22
3314,3105,177556.25,2022-05-22
3315,3105,114741.0,2022-05-22
3316,3105,16492.0,2022-05-22
3317,3105,56301.5,2022-05-22
3318,3105,32203.52,2022-05-22
3319,3105,74212.92,2022-05-22
3320,3105,587432.0,2022-05-22
3321,3105,10479.65,2022-05-22
3322,3105,1277.5,2022-05-22
3323,3105,12034.0,2022-05-22
3324,3105,8241.75,2022-05-22
3325,3105,43711.0,2022-05-22
3326,3105,34969.0,2022-05-22
3327,3105,1642.5,2022-05-22
3328,3105,43710.0,2022-05-22
3329,3105,28717.5,2022-05-22
3330,3105,412727.0,2022-05-22
3331,3105,412727.0,2022-05-22
3332,3105,349680.0,2022-05-22
3333,405,28613.5,2022-05-22
3334,3105,158017.0,2022-05-22
3335,3105,175935.0,2022-05-22
3336,3105,1971.0,2022-05-22
3337,3105,1095.0,2022-05-22
3338,3105,28012.0,2022-05-22
3339,3105,1642.5,2022-05-22
3340,3105,36336.0,2022-05-22
3341,3105,27204.0,2022-05-22
3342,3105,633014.76,2022-05-22
3343,3105,181025.0,2022-05-22
3344,3105,19674.0,2022-05-22
3345,3105,147182.0,2022-05-22
3346,3105,764945.19,2022-05-22
3347,3105,732757.05,2022-05-22
3348,3105,764369.76,2022-05-22
3349,3105,8749.0,2022-05-22
3350,3105,28584.0,2022-05-22
3351,3105,240000.0,2022-05-22
3352,3105,1642.5,2022-05-22
3353,3105,61194.0,2022-05-22
3354,3105,20112.0,2022-05-22
3355,3105,27594.75,2022-05-22
3356,3105,83325.85,2022-05-22
3357,3105,1478.25,2022-05-22
3358,3105,37432.75,2022-05-22
3359,3105,350419.0,2022-05-22
3360,3105,1642.5,2022-05-22
3361,3105,1642.5,2022-05-22
3362,3105,111378.0,2022-05-22
3363,3105,533152.5,2022-05-22
3364,3105,21913.0,2022-05-22
3365,3105,1174.5,2022-05-22
3366,3105,821.25,2022-05-22
3367,3105,186228.25,2022-05-22
3368,510,5000.0,2022-05-22
3369,511,238000.0,2022-05-22
3370,511,200000.0,2022-05-22
3371,505,90000.0,2022-05-22
3372,505,36000.0,2022-05-22
3373,523,390000.0,2022-05-22
3374,523,41750.0,2022-05-22
3375,523,31643.0,2022-05-22
3376,510,25000.0,2022-05-22
3377,507,12000.0,2022-05-22
3378,523,300000.0,2022-05-22
3379,523,240000.0,2022-05-22
3380,523,660000.0,2022-05-22
3381,523,240000.0,2022-05-22
3382,523,180000.0,2022-05-22
3383,509,5040.0,2022-05-22
3384,505,65772.0,2022-05-22
3385,505,65772.0,2022-05-22
3386,523,210000.0,2022-05-22
3387,523,15000.0,2022-05-22
3388,523,240000.0,2022-05-22
3389,523,300000.0,2022-05-22
3390,523,192000.0,2022-05-22
3391,523,300000.0,2022-05-22
3392,523,300000.0,2022-05-22
3393,523,210000.0,2022-05-22
3394,523,180000.0,2022-05-22
3395,523,180000.0,2022-05-22
3396,524,144000.0,2022-05-22
3397,509,83575.0,2022-05-22
3398,509,83575.0,2022-05-22
3399,523,240000.0,2022-05-22
3400,523,330000.0,2022-05-22
3401,523,240000.0,2022-05-22
3402,523,928973.0,2022-05-22
3403,523,326665.0,2022-05-22
3404,523,400000.0,2022-05-22
3405,523,400000.0,2022-05-22
3406,523,200000.0,2022-05-22
3407,523,168000.0,2022-05-22
3408,523,420000.0,2022-05-22
3409,510,6000.0,2022-05-22
3410,510,40000.0,2022-05-22
3411,512,60000.0,2022-05-22
3412,510,5000.0,2022-05-22
3413,505,48366.0,2022-05-22
3414,505,96000.0,2022-05-22
3415,505,96000.0,2022-05-22
3416,510,10000.0,2022-05-22
3417,523,16786.0,2022-05-22
3418,523,300000.0,2022-05-22
3419,523,240000.0,2022-05-22
3420,508,121369.0,2022-05-22
3421,502,360000.0,2022-05-22
3422,511,36000.0,2022-05-22
3423,512,6000.0,2022-05-22
3424,523,716.0,2022-05-22
3425,507,30365.0,2022-05-22
3426,523,150000.0,2022-05-22
3427,505,60000.0,2022-05-22
3428,511,47523.0,2022-05-22
3429,510,9000.0,2022-05-22
3430,510,18276.0,2022-05-22
3431,523,300000.0,2022-05-22
3432,507,48450.0,2022-05-22
3433,512,1261440.0,2022-05-22
3434,510,30000.0,2022-05-22
3435,505,31536.0,2022-05-22
3436,505,56764.0,2022-05-22
3437,505,31536.0,2022-05-22
3438,505,220752.0,2022-05-22
3439,505,157680.0,2022-05-22
3440,505,189216.0,2022-05-22
3441,510,54000.0,2022-05-22
3442,511,24000.0,2022-05-22
3443,511,15000.0,2022-05-22
3444,511,10000.0,2022-05-22
3445,507,5400.0,2022-05-22
3446,1024,300000.0,2022-05-22
3447,510,6547.5,2022-05-22
3448,510,2000.0,2022-05-22
3449,510,14400.0,2022-05-22
3450,510,6000.0,2022-05-22
3451,524,242172.0,2022-05-22
3452,523,276000.0,2022-05-22
3453,523,240000.0,2022-05-22
3454,523,783000.0,2022-05-22
3455,523,240000.0,2022-05-22
3456,523,40000.0,2022-05-22
3457,523,240000.0,2022-05-22
3458,511,18000.0,2022-05-22
3459,511,120000.0,2022-05-22
3460,504,300000.0,2022-05-22
3461,508,10153.0,2022-05-22
3462,508,40176.0,2022-05-22
3463,501,174000.0,2022-05-22
3464,504,1008000.0,2022-05-22
3465,511,127000.0,2022-05-22
3466,511,24365.0,2022-05-22
3467,504,180000.0,2022-05-22
3468,601,307300.0,2022-05-22
3469,607,7500.0,2022-05-22
3470,601,492.75,2022-05-22
3471,612,39960.0,2022-05-22
3472,610,40022.0,2022-05-22
3473,610,36000.0,2022-05-22
3474,601,130000.0,2022-05-22
3475,605,60000.0,2022-05-22
3476,607,30000.0,2022-05-22
3477,601,5794.2,2022-05-22
3478,612,33960.0,2022-05-22
3479,607,84000.0,2022-05-22
3480,615,8625.6,2022-05-22
3481,601,328.5,2022-05-22
3482,605,1314.0,2022-05-22
3483,601,100000.0,2022-05-22
3484,614,150000.0,2022-05-22
3485,601,3150.0,2022-05-22
3486,614,180000.0,2022-05-22
3487,605,18360.0,2022-05-22
3488,612,35160.0,2022-05-22
3489,612,18365.0,2022-05-22
3490,601,5000.0,2022-05-22
3491,601,492.75,2022-05-22
3492,601,70000.0,2022-05-22
3493,603,600000.0,2022-05-22
3494,601,36000.0,2022-05-22
3495,607,36730.0,2022-05-22
3496,615,30000.0,2022-05-22
3497,615,15000.0,2022-05-22
3498,615,15000.0,2022-05-22
3499,615,10000.0,2022-05-22
3500,615,12000.0,2022-05-22
3501,609,7000.0,2022-05-22
3502,609,7500.0,2022-05-22
3503,609,40000.0,2022-05-22
3504,601,80000.0,2022-05-22
3505,601,125000.0,2022-05-22
3506,601,65000.0,2022-05-22
3507,612,81000.0,2022-05-22
3508,601,8000.0,2022-05-22
3509,601,45000.0,2022-05-22
3510,601,45000.0,2022-05-22
3511,603,228000.0,2022-05-22
3512,608,5000.0,2022-05-22
3513,603,507500.0,2022-05-22
3514,603,9183.0,2022-05-22
3515,601,525.6,2022-05-22
3516,601,130000.0,2022-05-22
3517,601,131.4,2022-05-22
3518,615,10000.0,2022-05-22
3519,601,163.8,2022-05-22
3520,601,7230.0,2022-05-22
3521,601,78000.0,2022-05-22
3522,605,270.0,2022-05-22
3523,605,492.3,2022-05-22
3524,601,328.5,2022-05-22
3525,609,4826.0,2022-05-22
3526,601,20000.0,2022-05-22
3527,601,15000.0,2022-05-22
3528,601,50000.0,2022-05-22
3529,601,90000.0,2022-05-22
3530,601,140000.0,2022-05-22
3531,601,140000.0,2022-05-22
3532,601,730.0,2022-05-22
3533,603,45000.0,2022-05-22
3534,615,120000.0,2022-05-22
3535,607,24000.0,2022-05-22
3536,601,499.5,2022-05-22
3537,601,163.8,2022-05-22
3538,603,432000.0,2022-05-22
3539,603,432000.0,2022-05-22
3540,603,432000.0,2022-05-22
3541,607,800.0,2022-05-22
3542,601,365.0,2022-05-22
3543,601,3273.3,2022-05-22
3544,607,60000.0,2022-05-22
3545,601,414.0,2022-05-22
3546,601,177000.0,2022-05-22
3547,601,2500.0,2022-05-22
3548,601,250.0,2022-05-22
3549,601,250.0,2022-05-22
3550,603,12000.0,2022-05-22
3551,603,12000.0,2022-05-22
3552,615,576420.0,2022-05-22
3553,615,120300.0,2022-05-22
3554,615,318000.0,2022-05-22
3555,615,604800.0,2022-05-22
3556,615,138300.0,2022-05-22
3557,615,138300.0,2022-05-22
3558,603,186000.0,2022-05-22
3559,601,10000.0,2022-05-22
3560,601,5000.0,2022-05-22
3561,601,10000.0,2022-05-22
3562,601,10000.0,2022-05-22
3563,601,240000.0,2022-05-22
3564,603,10000.0,2022-05-22
3565,601,126000.0,2022-05-22
3566,601,12325.0,2022-05-22
3567,612,36720.0,2022-05-22
3568,706,161511.84,2022-05-22
3569,703,30447.36,2022-05-22
3570,704,47304.0,2022-05-22
3571,706,23587.65,2022-05-22
3572,707,4723.2,2022-05-22
3573,707,6000.0,2022-05-22
3574,704,6000.0,2022-05-22
3575,707,9000.0,2022-05-22
3576,707,4500.0,2022-05-22
3577,710,544320.0,2022-05-22
3578,705,74004.48,2022-05-22
3579,710,350000.0,2022-05-22
3580,710,751680.0,2022-05-22
3581,710,751680.0,2022-05-22
3582,710,750000.0,2022-05-22
3583,710,750000.0,2022-05-22
3584,711,583.2,2022-05-22
3585,710,842400.0,2022-05-22
3586,710,842400.0,2022-05-22
3587,710,282528.0,2022-05-22
3588,703,20080.01,2022-05-22
3589,709,581940.0,2022-05-22
3590,709,581940.0,2022-05-22
3591,710,765000.0,2022-05-22
3592,709,300000.0,2022-05-22
3593,709,90000.0,2022-05-22
3594,710,478164.0,2022-05-22
3595,710,489516.0,2022-05-22
3596,709,798850.0,2022-05-22
3597,710,15768.0,2022-05-22
3598,710,506000.0,2022-05-22
3599,710,85000.0,2022-05-22
