NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
23686,05GRO154338/19EQDL13,474.5,1.3,2022-05-22
23687,05GRO154372/19ESDL13,1051.2,2.88,2022-05-22
23688,05GRO154382/19CMGC13,43519.68,119.23,2022-05-22
23689,05GRO154383/19CMGC13,46673.28,127.87,2022-05-22
23690,05GRO154384/19CMGC13,77893.92,213.41,2022-05-22
23691,05GRO154385/20CMGC13,46673.28,127.87,2022-05-22
23692,05GRO154386/19CMGC13,23336.64,63.94,2022-05-22
23693,05GRO154388/19CMGC13,77893.92,213.41,2022-05-22
23694,05GRO154392/19CMGC13,46673.28,127.87,2022-05-22
23695,05GRO154399/19CMGC13,23336.64,63.94,2022-05-22
23696,05GRO154400/19CMGC13,7253.28,19.87,2022-05-22
23697,05GRO154453/19ELDL14,3962.44,10.85,2022-05-22
23698,05GRO154454/19HLDL14,87293.4,239.16,2022-05-22
23699,05GRO154958/19ELDL15,13694.8,37.52,2022-05-22
23700,05GRO155238/19EQDL15,1708.2,4.68,2022-05-22
23701,05GRO155246/19ERDL15,729.0,2.25,2022-05-22
23702,05GRO155498/19IPDL15,723.79,16.08,2022-05-22
23703,05GRO155665/19ERDL15,6832.8,18.72,2022-05-22
23704,05GRO156117/19ELDL16,1266.62,6.96,2022-05-22
23705,05GRO158246/19EPDL16,131.33,0.46,2022-05-22
23706,05GRO158709/19ERDL16,30037.0,82.29,2022-05-22
23707,05GRO158720/19ERDL16,10328.04,28.29,2022-05-22
23708,05GRO158743/20EPDL16,37.82,0.12,2022-05-22
23709,05GRO158797/19ERDL16,5183.0,14.2,2022-05-22
23710,05GRO158810/19ELDL16,1440.0,1.0,2022-05-22
23711,05GRO158833/19EPDL16,36135.0,99.0,2022-05-22
23712,05GRO158878/19DMDL16,1935.36,40.32,2022-05-22
23713,05GRO159053/19ELDL16,3525.0,18.36,2022-05-22
23714,05GRO159053/19ELDL16,3525.0,18.36,2022-05-22
23715,05GRO159065/19DPDL16,2433.02,9.22,2022-05-22
23716,05GRO159072/19DPDL16,2433.02,9.22,2022-05-22
23717,05GRO159075/19DPDL16,2433.02,9.22,2022-05-22
23718,05GRO159116/19ELDL16,28272.61,77.46,2022-05-22
23719,05GRO159448/19ELDL17,3766.8,10.32,2022-05-22
23720,05GRO159449/19DMDL17,59590.02,4256.43,2022-05-22
23721,05GRO159450/20EODL17,181.0,0.5,2022-05-22
23722,05GRO160529/19EMDL18,205404.68,562.75,2022-05-22
23723,05GRO160620/19ESDL18,14600.0,40.0,2022-05-22
23724,05GRO160850/19ELDL18,6190.4,16.96,2022-05-22
23725,05GRO160882/19ERDL18,7500.4,20.55,2022-05-22
23726,05OAX150001/28HADA14,9168.0,25.12,2022-05-22
23727,05OAX150004/20DDDA14,1533.0,4.2,2022-05-22
23728,05OAX150051/20HDDA16,77578.0,212.54,2022-05-22
23729,05OAX150053/20HADA14,164797.5,451.5,2022-05-22
23730,05OAX150062/21HKDA15,362664.0,993.6,2022-05-22
23731,05OAX150074/28HADA14,20075.0,55.0,2022-05-22
23732,05OAX150075/20HDDA14,50771.5,139.1,2022-05-22
23733,05OAX150076/20HDDA14,40369.0,110.6,2022-05-22
23734,05OAX150092/20HADA14,16083.36,44.06,2022-05-22
23735,05OAX150094/20EKDA14,3600.0,15.0,2022-05-22
23736,05OAX150095/20HKDA16,69715.0,191.0,2022-05-22
23737,05OAX150097/20HADA14,84446.4,231.36,2022-05-22
23738,05OAX150098/20HDDA14,196005.0,537.0,2022-05-22
23739,05OAX150099/20HKDA14,700.8,192.0,2022-05-22
23740,05OAX150103/20HDDA14,94535.0,259.0,2022-05-22
23741,05OAX150105/20HADA14,21900.0,60.0,2022-05-22
23742,05OAX150106/21HKDA16,56764.8,155.52,2022-05-22
23743,05OAX150108/20HDDA14,80416.8,220.32,2022-05-22
23744,05OAX150109/20HDDA14,16713.35,45.79,2022-05-22
23745,05OAX150115/20HSDA16,19800.0,55.0,2022-05-22
23746,05OAX150115/20HSDA16,19800.0,55.0,2022-05-22
23747,05OAX150123/20HDDA14,14957.7,40.98,2022-05-22
23748,05OAX150125/20HADA14,91075.0,249.52,2022-05-22
23749,05OAX150127/22HADA14,94535.0,259.0,2022-05-22
23750,05OAX150200/21DSDA14,89877.6,246.24,2022-05-22
23751,05OAX150203/20HADA14,213073.31,583.77,2022-05-22
23752,05OAX150213/22HKDA16,13665.6,237.44,2022-05-22
23753,05OAX150215/20HDDA14,94608.0,259.2,2022-05-22
23754,05OAX150264/20HADA14,86408.0,236.73,2022-05-22
23755,05OAX150265/20HDDA12,133576.31,365.96,2022-05-22
23756,05OAX150269/20HDDA14,5475.0,15.0,2022-05-22
23757,05OAX150323/20HKDA16,189216.0,518.4,2022-05-22
